Image Path,Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
C:/food-project/raw_images/aloo_gobi/00fce13f41.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/04f6621f19.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/07e76a41ce.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/08e086039e.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/08f5340905.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/0ab3a056ed.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/0ab91a93df.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/0b8b93a61c.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/0b97c99f59.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/0bc22d7426.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/0d0d6d5d9e.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/0fd0e8821c.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/12ec0edc0a.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/14fa89fd86.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/17d0d30093.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/1a4970a193.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/1b431ad21c.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/1ce969aa3b.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/22b3357956.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/28af31112e.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/2a46407f59.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/2d44ca6b73.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/2d60311a69.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/2dc453e97c.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/2e483c3d7b.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/2f43ef19ea.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/2f4a394175.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/2f8013eec0.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/3a085edb5a.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/3bb33e5e68.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/3c84676bd2.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/4c8f0980a5.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/4ea2b2b60d.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/5b4e957838.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/5b86c2854e.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/5b8c8e25e8.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/5dbe83bc86.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/5fb37a0d68.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/6a0d7b2438.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/6b6b005b7f.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/6f21bcc3db.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/6fb09a4b62.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/7dba40f672.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/8a9500f879.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/8b15ba282c.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/8bc7e3ba50.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/8c5b2f57f4.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/8fc7f43930.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/9cb1050e35.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_gobi/9e42364d56.jpg,aloo_gobi,317,61.7,15.8,19.5,13.2,4.1,106.9,16.6,1.9,19.6,32.9
C:/food-project/raw_images/aloo_matar/02df621fdd.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/06b47185d9.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/11d98db2fe.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/13c9bdabbc.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/14f3ca9153.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/18a5afc696.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/18c83308e5.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/1a63aeb2fd.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/1aa0bfd414.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/1ada432911.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/21e56f6d06.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/2db15a615e.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/31de4c7ed9.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/34a9630f01.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/3a99bdbae2.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/3b6982147e.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/3dca55f96b.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/41cd12677f.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/42ad1e8c14.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/48c588fa18.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/4a7bc66884.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/4d14f4450e.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/4d2b8349d3.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/4e282ef582.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/52cb18d1d3.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/55b1fdc50e.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/58c57dc4b2.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/5acd382ee2.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/5b4370d687.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/5bd4b9eacd.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/5c4c3e95f5.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/5c6980607d.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/5e0e8735cf.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/5e5698e2f0.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/5ee0ddf533.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/5f21cc7cf7.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/6b4b319bd7.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/6bf25a6a56.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/6cf842e34c.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/6f52a5dbb6.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/7a6ee0d943.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/7a891c23dd.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
C:/food-project/raw_images/aloo_matar/7d3544d9f9.jpg,aloo_matar,122,39.8,2.4,5.3,21.6,0.4,15.2,15.8,3.5,13.9,19.8
